     hetero_est  error_est
U03    0.002885   0.001820
U04    0.002638   0.001949
U05    0.001681   0.001738
U19    0.002689   0.001551
U20    0.002401   0.001862
U21    0.003093   0.002015
U23    0.002462   0.001732
U24    0.001732   0.001702
U25    0.001774   0.001938
U41    0.002251   0.002163
U42    0.001921   0.002286
U43    0.003145   0.002266
