     hetero_est  error_est
U03    0.011791   0.008379
U04    0.012127   0.008798
U05    0.011539   0.008005
U19    0.012177   0.007240
U20    0.011174   0.007838
U21    0.012133   0.007808
U23    0.012531   0.007298
U24    0.011205   0.007440
U25    0.011092   0.008452
U41    0.012195   0.008249
U42    0.011476   0.008432
U43    0.011604   0.007870
